paper_00	concept_ml	0.95
paper_00	concept_nlp	0.8
paper_01	concept_nlp	0.93
paper_02	concept_db	0.91
paper_03	concept_ml	0.89
paper_03	concept_nlp	0.74
paper_04	concept_nlp	0.87
paper_05	concept_db	0.85
paper_06	concept_ml	0.83
paper_06	concept_nlp	0.68
paper_07	concept_nlp	0.81
paper_08	concept_db	0.79
paper_09	concept_ml	0.77
paper_09	concept_nlp	0.62
paper_10	concept_nlp	0.95
paper_11	concept_db	0.93
paper_12	concept_ml	0.91
paper_12	concept_nlp	0.76
paper_13	concept_nlp	0.89
paper_14	concept_db	0.87
paper_15	concept_ml	0.85
paper_15	concept_nlp	0.7
paper_16	concept_nlp	0.83
paper_17	concept_db	0.81
paper_18	concept_ml	0.79
paper_18	concept_nlp	0.64
paper_19	concept_nlp	0.77
paper_20	concept_db	0.95
paper_21	concept_ml	0.93
paper_21	concept_nlp	0.78
paper_22	concept_nlp	0.91
paper_23	concept_db	0.89
paper_24	concept_ml	0.87
paper_24	concept_nlp	0.72
paper_25	concept_nlp	0.85
paper_26	concept_db	0.83
paper_27	concept_ml	0.81
paper_27	concept_nlp	0.66
paper_28	concept_nlp	0.79
paper_29	concept_db	0.77
paper_30	concept_ml	0.95
paper_30	concept_nlp	0.8
paper_31	concept_nlp	0.93
paper_32	concept_db	0.91
paper_33	concept_ml	0.89
paper_33	concept_nlp	0.74
paper_34	concept_nlp	0.87
paper_35	concept_db	0.85
paper_36	concept_ml	0.83
paper_36	concept_nlp	0.68
paper_37	concept_nlp	0.81
paper_38	concept_db	0.79
paper_39	concept_ml	0.77
paper_39	concept_nlp	0.62
paper_40	concept_nlp	0.95
paper_41	concept_db	0.93
paper_42	concept_ml	0.91
paper_42	concept_nlp	0.76
paper_43	concept_nlp	0.89
paper_44	concept_db	0.87
paper_45	concept_ml	0.85
paper_45	concept_nlp	0.7
paper_46	concept_nlp	0.83
paper_47	concept_db	0.81
paper_48	concept_ml	0.79
paper_48	concept_nlp	0.64
paper_49	concept_nlp	0.77
